item,itemLabel,startDate,endDate
Q5761089,Hilary Teague,1848,1850
,John N. Lewis,1850,1854
Q878849,Daniel Bashiel Warner,1854,1856
Q878907,James Skivring Smith,1856,1860
Q384338,Edward Wilmot Blyden,1860,1862
,J. W. Blacklege,1862,1864
,James E. Moore,1864,1871
Q880702,Hilary R. W. Johnson,1871,1874
,W. A. Johnson,1874,1878
Q384338,Edward Wilmot Blyden,1878,1888
,William M. Davies,1888,1890
,Ernest J. Barclay,1890,1892
Q708561,Arthur Barclay,1892,1892
Q888979,Garretson W. Gibson,1892,1900
,Walter van Dyke Gibson,1900,1904
,Hilary Wilmot Travis,1904,1908
,F. E. R. Johnson,1908,1912
Q730622,Charles D. B. King,1912,1920
Q735400,Edwin Barclay,1920,1930
Q6686666,Louis Arthur Grimes,1930,1934
Q2975566,Clarence Lorenzo Simpson,1934,1943
Q5515715,Gabriel Lafayette Dennis,1944,1953
Q6897427,Momolu Dukuly,1954,1960
Q12432984,Joseph Rudolph Grimes,1960,1972
Q7353860,Rocheforte Lafayette Weeks,1972,1973
Q5056038,Cecil Dennis,1973,1980
Q5515539,Gabriel Baccus Matthews,1980,1981
Q891036,Henry Boimah Fahnbulleh,1981,1983
Q1277724,Ernest Eastman,1983,1986
Q16096855,John Bernard Blamo,1986,1987
,Joseph Rudolph Johnson,1987,1990
Q5515539,Gabriel Baccus Matthews,1990,1993
,Momoly Sirleaf,1993,1994
Q20986582,Dorothy Musuleng-Cooper,1994,1995
,Momoly Sirleaf,1995,1996
Q1773116,Monie Captan,1996,2003
Q6536357,Lewis Brown,2003,2003
Q7792753,Thomas Nimely,2003,2006
Q5545832,George Wallace,2006,2007
Q436587,Olubanke King Akerele,2007,2010
,Toga G. McIntosh,2010,2012
Q4821195,Augustine Kpehe Ngafuan,2012,2015
,B. Elias Shoniyin,2015,2016
Q29294975,Marjon Kamara,2016,2018
Q9266530,Gbehzohngar Milton Findley,2018,2020
Q891036,Henry Boimah Fahnbulleh,2020,2020
,"Dee-Maxwell Saah Kemayah, Sr.",2020,2020
